trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
81,False,"{'a': 0.5, 'e': 0.6669768108584744}",25,0,-69.83084095616265,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.6636502501363194}",20,1,-81.66801924204412,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.6603402807049829}",20,0,-72.86201069787285,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.6570468198150569}",30,0,-36.113654983595666,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.6537697851298473}",25,11,-22.09797348398053,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.6505090947233165}",20,0,-35.502774810939016,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.6472646670780347}",35,0,-80.90669661948573,"{0: 25, 1: 4, 2: 4, 3: 1, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.6440364210831414}",35,7,-38.73842954673114,"{0: 25, 1: 0, 2: 1, 3: 1, 4: 1}",1
89,False,"{'a': 0.5, 'e': 0.6408242760323188}",30,18,-15.403777633619093,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.6376281516217733}",20,0,-82.64925380948294,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.6344479679482282}",30,0,-44.74570649820096,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",1
92,False,"{'a': 0.5, 'e': 0.631283645506926}",25,12,-14.151315188202597,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.6281351051896408}",25,11,2.6043708284094818,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.6250022682827008}",20,0,-71.13782515294156,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.6218850564650201}",30,0,-52.62810708668259,"{0: 20, 1: 6, 2: 3, 3: 1, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.6187833918061408}",25,0,-168.71735094888936,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 4}",0
97,False,"{'a': 0.5, 'e': 0.6156971967642851}",35,22,-54.63846464424037,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
98,False,"{'a': 0.5, 'e': 0.6126263941844161}",20,14,1.8929149424949454,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.6095709072963093}",20,0,-69.24384526845054,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
